"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog"
2025020229,"CHI","CGY","home",55.5,26.875,14.5,14.125,59.25,27.75,15,16.5,48,24.6666666666667,12.8333333333333,10.5,60.875,31.625,13.75,15.5,63.5,31.25,14.75,17.5,58,30.8888888888889,13.3333333333333,13.7777777777778,0,0,27
2025020230,"WPG","SJS","home",54.75,28.875,13.625,12.25,53.5,27.5,14.5,11.5,56.875,29.5,14.25,13.125,65.875,29.875,15.875,20.125,70.75,33.75,16,21,65.5,30.1666666666667,17.6666666666667,17.6666666666667,0,0,33
2025020227,"DET","NYR","away",63.375,28.25,17.25,17.875,62.75,28.25,18,16.5,61.125,26.625,17.75,16.75,57.875,26.75,15,16.125,55.5,26,15.25,14.25,57.1666666666667,27,13.3333333333333,16.8333333333333,0,0,33
2025020228,"NYI","MIN","away",59.125,30.125,15,14,61,30.75,15.25,15,58.5,28.6666666666667,14.5,15.3333333333333,62.375,30.625,16,15.75,68,30.75,20,17.25,60.375,31.625,13.5,15.25,0,1,27
2025020229,"CGY","CHI","away",60.125,30,11.125,19,54.25,27.75,9.75,16.75,58.1111111111111,26,13.1111111111111,19,60.375,30.875,15.875,13.625,58.75,32.75,13.75,12.25,60.3333333333333,28.1666666666667,18,14.1666666666667,0,0,33
2025020230,"SJS","WPG","away",50.625,24.75,9.125,16.75,47.25,23,8,16.25,48,24.3333333333333,9.5,14.1666666666667,62.375,30.125,15,17.25,62,28.75,16.25,17,63,30.875,15.25,16.875,0,0,28
2025020231,"PIT","NJD","home",58.75,29,14.125,15.625,66,33,15.75,17.25,57.3333333333333,26.8333333333333,14.3333333333333,16.1666666666667,62.875,29.25,13.25,20.375,63.25,30,12.5,20.75,66.5,31.375,14.25,20.875,0,0,34
2025020232,"OTT","PHI","home",55.125,26.5,13.625,15,57,25.25,16,15.75,59.5714285714286,28.8571428571429,14.4285714285714,16.2857142857143,57.75,27.125,14,16.625,53,23.25,15.25,14.5,64.4,30.2,18.4,15.8,0,0,14
2025020233,"DAL","NSH","home",50.25,26,10.75,13.5,48,24,9.5,14.5,52.375,27,11.375,14,57.875,31,14.625,12.25,57.75,30.5,14,13.25,54.1666666666667,26.1666666666667,15.5,12.5,0,0,22
2025020234,"BOS","TOR","home",57.25,25.875,14.75,16.625,56.5,24,15.75,16.75,59,28,15.6,15.4,61.125,29.75,13,18.375,64,29.5,14.75,19.75,64.25,30.5,15.25,18.5,0,0,39
2025020235,"UTA","MTL","home",56.125,30,13.125,13,57.75,27.25,14.25,16.25,57.6,30.6,13.2,13.8,64.25,29.875,14.625,19.75,59.25,27.5,12.75,19,58.25,28.25,12.625,17.375,0,0,27
2025020236,"WSH","TBL","home",60.75,27.5,14.375,18.875,61.75,29.75,13,19,69,30.25,16.75,22,51.75,27.125,9.625,15,54.5,28.25,10,16.25,59,29.375,13.5,16.125,0,0,31
2025020237,"NYI","NYR","home",58.375,30.125,13.625,14.625,59,30.5,13.5,15,62.25,31.5,15.125,15.625,59.375,27.875,14.625,16.875,57.25,28.5,12.75,16,55.8888888888889,26.5555555555556,14.2222222222222,15.1111111111111,1,1,26
2025020238,"BUF","CAR","home",58.625,29.375,14.75,14.5,54.5,27.5,14.75,12.25,58.3,29.2,14,15.1,57.875,30.75,13.25,13.875,52,25,13.5,13.5,55.875,28.5,12.875,14.5,0,0,22
2025020239,"SEA","STL","home",50.75,22.625,13.125,15,51,22,13.25,15.75,52.4285714285714,23.4285714285714,14.8571428571429,14.1428571428571,56.875,26.875,12.125,17.875,62.25,30.25,11.75,20.25,60.4285714285714,29.5714285714286,13.1428571428571,17.7142857142857,0,0,30
2025020240,"COL","EDM","home",69.125,34.75,16,18.375,63,35,14.25,13.75,74,37.8333333333333,16.3333333333333,19.8333333333333,56.75,26.875,14.75,15.125,58.5,28.75,15,14.75,56.5555555555556,25,14.5555555555556,17,0,0,34
2025020241,"CBJ","VAN","home",65.75,33.5,15.125,17.125,62,31,12.75,18.25,62.1666666666667,30.1666666666667,15,17,61.875,29.875,14.5,17.5,64.5,31.5,15.5,17.5,66.7777777777778,32.7777777777778,15.7777777777778,18.2222222222222,0,0,32
2025020242,"ANA","VGK","home",61.875,29.625,14.625,17.625,62.25,29.5,14.25,18.5,62,27.8,15,19.2,62.5,26.125,16,20.375,59.75,25.25,18.75,15.75,59.3333333333333,25.3333333333333,15.1666666666667,18.8333333333333,0,0,29
2025020243,"FLA","SJS","home",64,28,18.125,17.875,59.75,26.5,16.75,16.5,68.1428571428571,31.7142857142857,17,19.4285714285714,64.75,30.5,15.25,19,68,34.25,16.5,17.25,65.5,30.1666666666667,17.6666666666667,17.6666666666667,0,1,39
2025020231,"NJD","PIT","away",63.125,29,13.875,20.25,60.25,28.5,11.25,20.5,59,29,12.5,17.5,63.875,32.125,15.75,16,54.5,27.75,12.75,14,67,32.1666666666667,15.3333333333333,19.5,0,0,24
2025020232,"PHI","OTT","away",55.75,27.5,12.75,15.5,61,29.75,13.5,17.75,52,26.8,11.4,13.8,54.125,24.625,12.125,17.375,55.5,27,11.25,17.25,55.5714285714286,27.1428571428571,11.7142857142857,16.7142857142857,0,0,22
2025020233,"NSH","DAL","away",58.875,26.75,13.5,18.625,64.75,27.75,16.5,20.5,67.5,28.8333333333333,16.1666666666667,22.5,62.5,27.375,17,18.125,63,29.25,17.75,16,61.375,28.25,14.875,18.25,0,0,21
2025020234,"TOR","BOS","away",54.75,27.625,12.875,14.25,49.75,25.5,12.75,11.5,59.25,30,12,17.25,64,30.75,15.875,17.375,63,31.25,16.25,15.5,59.8,28.1,15.2,16.5,0,0,33
2025020235,"MTL","UTA","away",51,24.75,13,13.25,45.25,21.75,12,11.5,52.375,24.375,12.625,15.375,52.625,25.625,12.375,14.625,45,21.75,11.75,11.5,53,25.2,11.2,16.6,0,0,23
2025020236,"TBL","WSH","away",63.875,29.25,18.375,16.25,62.75,27.5,19.5,15.75,57.25,25.875,16.5,14.875,56.375,26.5,15.5,14.375,57.5,26.25,16.75,14.5,47.875,22.375,13.75,11.75,0,0,20
2025020237,"NYR","NYI","away",63.375,27.75,17.75,17.875,63.75,28.5,18.5,16.75,60.8888888888889,28.6666666666667,16.6666666666667,15.5555555555556,57.25,27.375,13.875,16,53.25,25,12.5,15.75,60.625,29.375,13.375,17.875,1,1,33
2025020238,"CAR","BUF","away",66.625,29,17.75,19.875,70,30.5,21.25,18.25,68.875,32.75,15.375,20.75,64.5,29.625,15.75,19.125,61.75,27.5,16.25,18,68.5,33.1,16.1,19.3,0,0,35
2025020239,"STL","SEA","away",57.125,27.5,13.625,16,51,25.5,12.5,13,58.5714285714286,28.7142857142857,12.7142857142857,17.1428571428571,59.375,28.375,14.75,16.25,56,25.25,15.25,15.5,64.1428571428571,28.1428571428571,17,19,0,0,19
2025020240,"EDM","COL","away",59.875,29.125,13.625,17.125,58.25,29.5,12.25,16.5,55.3333333333333,26.8888888888889,13,15.4444444444444,55.625,26.125,13.875,15.625,58.5,25,14.25,19.25,54.1666666666667,26.5,12.8333333333333,14.8333333333333,0,0,24
2025020241,"VAN","CBJ","away",58.625,28.75,15.625,14.25,60,31.75,15.5,12.75,54.5555555555556,25,15.2222222222222,14.3333333333333,60.625,33,13.75,13.875,63.5,35,13.5,15,64.5,32.1666666666667,16.5,15.8333333333333,0,0,24
2025020242,"VGK","ANA","away",56.625,26.75,12.375,17.5,63.5,31,14,18.5,58.8333333333333,26.5,14.8333333333333,17.5,63.625,31.125,16.75,15.75,55.5,27.5,15.25,12.75,59,28.2,15.6,15.2,0,0,39
2025020243,"SJS","FLA","away",53.5,25.25,9.375,18.875,52,23,9.25,19.75,48,24.3333333333333,9.5,14.1666666666667,54.5,24.75,13.75,16,54.5,25.5,12,17,47.2857142857143,20.7142857142857,12.8571428571429,13.7142857142857,1,0,23
2025020244,"CHI","DET","home",53.875,26.5,13.125,14.25,57,28.5,12.25,16.25,48,24.6666666666667,12.8333333333333,10.5,61.375,29.375,15.125,16.875,58.5,28,14.5,16,63.875,31.375,15.25,17.25,0,0,20
2025020245,"LAK","PIT","home",61.75,29.5,14.875,17.375,71.75,33.75,17.25,20.75,67.8571428571429,31.4285714285714,15.8571428571429,20.5714285714286,60.25,30.75,14.25,15.25,52.75,27.5,12,13.25,61.3,29.1,14.9,17.3,0,1,27
2025020246,"CAR","TOR","home",67.875,30,18.75,19.125,69.75,30.75,20,19,72.8333333333333,32,22.1666666666667,18.6666666666667,61.625,30.25,13.875,17.5,66,33.25,16.25,16.5,64.25,30.5,15.25,18.5,1,1,47
2025020247,"UTA","OTT","home",56.5,29.25,13.5,13.75,58.5,28.25,14,16.25,57.6,30.6,13.2,13.8,55.625,24.25,12.75,18.625,55.75,26,11.75,18,52.5,24,12,16.5,1,1,31
2025020248,"SEA","DAL","home",53.25,23.5,13.25,16.5,55.75,24.25,14.25,17.25,52.4285714285714,23.4285714285714,14.8571428571429,14.1428571428571,62.125,26.875,17.125,18.125,56.75,26.25,14,16.5,61.7142857142857,28.4285714285714,15.4285714285714,17.8571428571429,1,1,31
2025020249,"CGY","MIN","home",57.75,29.5,11.25,17,54.5,28.75,11.75,14,62.8571428571429,31,14.2857142857143,17.5714285714286,59.25,29.625,14.875,14.75,65,29,18.5,17.5,62.75,28.75,15.75,18.25,0,0,36
2025020250,"COL","VAN","home",68.375,34.875,15.625,17.875,61.25,33,13.5,14.75,74,37.8333333333333,16.3333333333333,19.8333333333333,62.75,29.5,16.75,16.5,63.5,29.25,16.5,17.75,66.7777777777778,32.7777777777778,15.7777777777778,18.2222222222222,1,1,32
2025020251,"WPG","ANA","home",55.75,29.625,13.875,12.25,55,30.5,12.75,11.75,56.875,29.5,14.25,13.125,66,32.5,16.75,16.75,58.5,29.75,14,14.75,62.1111111111111,32,14.7777777777778,15.3333333333333,0,1,24
2025020244,"DET","CHI","away",62.125,28.5,16,17.625,64.5,29.75,17.25,17.5,61.125,26.625,17.75,16.75,58.875,30.125,15.5,13.25,59.25,33,13.75,12.5,60.3333333333333,28.1666666666667,18,14.1666666666667,0,0,46
2025020245,"PIT","LAK","away",62,31.125,13.5,17.375,68.75,33,15.5,20.25,57.7,28.7,12.7,16.3,54.25,27.875,11.375,15,51,24.25,12.25,14.5,54,26.5714285714286,12.4285714285714,15,1,0,33
2025020246,"TOR","CAR","away",55.625,28.625,13.5,13.5,48.25,24.75,13.5,10,59.25,30,12,17.25,57.25,30.25,13.5,13.5,51,23.5,13.25,14.25,52.1666666666667,25.6666666666667,12.3333333333333,14.1666666666667,1,1,20
2025020247,"OTT","UTA","away",54,25.625,14.25,14.125,52,22.75,15.25,14,56.625,26.25,13.625,16.75,50.5,24.375,12.375,13.75,44.25,21.5,11.75,11,53,25.2,11.2,16.6,1,1,25
2025020248,"DAL","SEA","away",48.25,24.875,11,12.375,47.25,24.25,10.25,12.75,45.8571428571429,24.4285714285714,11.1428571428571,10.2857142857143,58.75,27.375,15.125,16.25,56,24.75,15.25,16,64.1428571428571,28.1428571428571,17,19,1,1,25
2025020249,"MIN","CGY","away",63.125,29.125,16.75,17.25,54.5,25.75,15.5,13.25,57.375,25.625,14.125,17.625,60.75,31.5,13.75,15.5,58.75,28,12.25,18.5,60,30.5714285714286,11.7142857142857,17.7142857142857,0,0,19
2025020250,"VAN","COL","away",59.125,29,16.625,13.5,61.25,33.25,16.75,11.25,54.5555555555556,25,15.2222222222222,14.3333333333333,55.5,25,14.125,16.375,55.75,23.5,13.5,18.75,54.1666666666667,26.5,12.8333333333333,14.8333333333333,1,1,33
2025020251,"ANA","WPG","away",61.375,29.25,14.5,17.625,63.25,28.75,15.5,19,67.5555555555556,32.4444444444444,17,18.1111111111111,62,29.5,14.75,17.75,60.25,27,14.5,18.75,63,30.875,15.25,16.875,1,0,21
2025020252,"NYI","NJD","home",58.75,29.625,14,15.125,59.5,31.25,12.75,15.5,62.25,31.5,15.125,15.625,63.25,29.875,13.125,20.25,68.5,32,13.5,23,66.5,31.375,14.25,20.875,0,0,24
2025020253,"NSH","NYR","home",59.5,26.25,14,19.25,63.25,27,16.5,19.75,55.1818181818182,26,12.0909090909091,17.0909090909091,57.25,27.125,14.125,16,56.5,26,14,16.5,55.8888888888889,26.5555555555556,14.2222222222222,15.1111111111111,0,0,30
2025020254,"CBJ","EDM","home",67.125,33.875,15.75,17.5,64.75,33,15,16.75,62.1666666666667,30.1666666666667,15,17,56.375,27.75,13.875,14.75,57,28.5,13,15.5,56.5555555555556,25,14.5555555555556,17,0,0,22
2025020255,"FLA","VGK","home",64,28.875,17.5,17.625,60.75,28,15.75,17,68.1428571428571,31.7142857142857,17,19.4285714285714,62,26.375,16.375,19.25,61.25,26.5,19.75,15,59.3333333333333,25.3333333333333,15.1666666666667,18.8333333333333,0,0,20
2025020252,"NJD","NYI","away",60.5,27.625,13.375,19.5,56.5,26.75,12.5,17.25,59,29,12.5,17.5,55.875,27.25,13.5,15.125,56.75,27.5,13.5,15.75,60.625,29.375,13.375,17.875,0,0,35
2025020253,"NYR","NSH","away",63.125,28.875,17.125,17.125,64,28,18,18,60.8888888888889,28.6666666666667,16.6666666666667,15.5555555555556,52.375,27.75,13.75,10.875,50.75,27.25,12.75,10.75,57.9090909090909,31.1818181818182,13.3636363636364,13.3636363636364,0,0,18
