"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog"
2025020632,"WSH","OTT","home",64.375,29,18.125,17.25,61.5,29.75,16.25,15.5,64.2380952380952,29.952380952381,16,18.2857142857143,49.25,24.875,12.625,11.75,48.25,25,11.75,11.5,51.8,25.2,11.8,14.8,1,0,29
2025020633,"UTA","NYI","home",66.375,29.5,14.75,22.125,64.5,29.5,13.25,21.75,61.5294117647059,29.8235294117647,14.9411764705882,16.7647058823529,64.25,29.875,17.375,17,65.5,28.75,19.25,17.5,61.4736842105263,28.9473684210526,15.8421052631579,16.6842105263158,0,0,21
2025020634,"WPG","TOR","home",60.375,28,15.625,16.75,62.5,29.5,15.5,17.5,58.8888888888889,29.9444444444444,14.5,14.4444444444444,60.5,30.25,14.75,15.5,63.75,33,16.25,14.5,66.3125,31.25,17.625,17.4375,1,0,40
2025020635,"DET","PIT","home",54.75,27.125,13.25,14.375,48,25,12.25,10.75,59.3181818181818,30,13.8181818181818,15.5,59.125,27.125,17.625,14.375,60.25,27.75,16.75,15.75,60.3157894736842,28.7368421052632,15.0526315789474,16.5263157894737,1,0,27
2025020636,"MTL","CAR","home",60.375,27.875,17.375,15.125,65.5,29.5,18.25,17.75,55.8,26,15.05,14.75,54.75,27.125,14.625,13,48.25,22.5,14.25,11.5,52.5789473684211,27.5789473684211,12.4736842105263,12.5263157894737,0,0,23
2025020639,"TBL","LAK","home",58.625,26.875,15.125,16.625,49,23,12,14,61.15,27.85,16.45,16.85,58.75,29.375,14.375,15,55.5,27.5,15.75,12.25,57.9523809523809,27.4761904761905,14.4285714285714,16.047619047619,1,0,24
2025020637,"DAL","CHI","home",50.625,25,11.875,13.75,52.75,26,14,12.75,51.15,25.85,11.4,13.9,57.125,29,14.75,13.375,51.75,26.5,13.25,12,64.3,33.65,15.65,15,1,0,25
2025020638,"NSH","SEA","home",59.125,28,14.375,16.75,57,26.5,15,15.5,57.9047619047619,28.3809523809524,12.8571428571429,16.6666666666667,73.625,35.25,19,19.375,72,34.25,20.25,17.5,65.1666666666667,31.1111111111111,16.2222222222222,17.8333333333333,1,0,25
2025020632,"OTT","WSH","away",63.125,30.75,16.5,15.875,59.25,28.25,16.75,14.25,57.35,27,14.7,15.65,61.5,29.375,13.875,18.25,65.5,28.25,14.75,22.5,56.1428571428571,25.952380952381,14.2857142857143,15.9047619047619,0,1,32
2025020633,"NYI","UTA","away",55.75,23.875,14.625,17.25,58.5,24.5,14.5,19.5,54.2105263157895,25.4736842105263,13.6315789473684,15.1052631578947,52.375,25.5,10.875,16,53.5,25,11.25,17.25,56.1764705882353,26.2941176470588,13.6470588235294,16.2352941176471,0,0,22
2025020634,"TOR","WPG","away",53.625,27.5,13.5,12.625,54,30.25,12.5,11.25,55.0625,27.1875,13.4375,14.4375,50.125,23.625,12.875,13.625,46.25,20.25,12.5,13.5,57.8333333333333,27.8333333333333,14.2777777777778,15.7222222222222,0,1,30
