"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog","sog_trend","sog_ag_trend","home","off_def_gap","pace","shot_perc","shot_perc_ag"
2025020189,"CBJ","STL","away",65.75,31.875,16.375,17.5,69.5,34.75,16.5,18.25,69.8,36,15,18.8,48.25,24.375,11.5,12.375,51.5,23.5,12.5,15.5,47.2857142857143,23.1428571428571,12.1428571428571,12,0,0,35,2.875,-0.875,0,7.5,56.25,0.484790874524715,0.505181347150259
2025020190,"MIN","VAN","away",65.75,27.875,17.375,20.5,71.75,32.5,18,21.25,59.3333333333333,25.8333333333333,14.6666666666667,18.8333333333333,65,31,16.125,17.875,62,29.75,17,15.25,59,26.4,16.4,16.2,0,0,28,4.625,-1.25,0,-3.125,58.875,0.423954372623574,0.476923076923077
2025020191,"LAK","NJD","away",57.75,28.5,14,15.25,61.25,28.75,17,15.5,54.5,27.625,11.5,15.375,59.25,27.375,12.75,19.125,58,27.75,12.75,17.5,60,24.8,13.6,21.6,0,0,44,0.25,0.375,0,1.125,55.875,0.493506493506494,0.462025316455696
2025020192,"EDM","CHI","away",56.25,28,12.625,15.625,61,30.5,13.5,17,55.4285714285714,27.1428571428571,13,15.2857142857143,60.375,28.75,18.25,13.375,58.5,27.25,17.25,14,60.3333333333333,28.1666666666667,18,14.1666666666667,0,0,30,2.5,-1.5,0,-0.75,56.75,0.497777777777778,0.476190476190476
2025020193,"SEA","NYR","away",53.375,24.625,12,16.75,50.75,22.75,12.25,15.75,54.6666666666667,25.5,12,17.1666666666667,56.25,26.875,14.125,15.25,58,28.25,14.25,15.5,55.4,26,12.6,16.8,0,0,13,-1.875,1.375,0,-2.25,51.5,0.46135831381733,0.477777777777778
2025020194,"TBL","UTA","home",62.875,29,17.625,16.25,64.25,31.5,17.75,15,63.8333333333333,27.8333333333333,17.3333333333333,18.6666666666667,55,26.125,12,16.875,56.75,27.25,13,16.5,54.4285714285714,24.7142857142857,13.5714285714286,16.1428571428571,0,0,26,2.5,1.125,1,2.875,55.125,0.461232604373757,0.475
2025020195,"CBJ","NYI","home",64.375,32.125,15.625,16.625,67.75,34.75,14.25,18.75,62.1666666666667,30.1666666666667,15,17,61.125,30.375,13.75,17,55,27,13.5,14.5,56.1666666666667,28,12.8333333333333,15.3333333333333,1,0,22,2.625,-3.375,1,1.75,62.5,0.499029126213592,0.496932515337423
2025020196,"CGY","PHI","home",65.75,31.625,12.75,21.375,62.75,30.75,12.25,19.75,67.8,31.6,15.8,20.4,55.125,25.625,12.875,16.625,60.75,29.5,13.5,17.75,69,35.3333333333333,16.6666666666667,17,1,1,21,-0.875,3.875,1,6,57.25,0.480988593155894,0.464852607709751
2025020197,"NJD","ANA","home",61.125,28.625,13.375,19.125,58.5,26.75,12.25,19.5,63.8,28.8,15.8,19.2,65.5,32,16.625,16.875,73.5,35.25,19.5,18.75,63.2857142857143,31.8571428571429,16.1428571428571,15.2857142857143,1,0,33,-1.875,3.25,1,-3.375,60.625,0.468302658486708,0.488549618320611
2025020198,"DET","SJS","home",62,28.25,16,17.75,56,26.25,15,14.75,60.1666666666667,29.1666666666667,14.1666666666667,16.8333333333333,61,28.5,14.875,17.625,62.5,29.25,14.75,18.5,64.6,30.2,17.6,16.8,0,1,32,-2,0.75,1,-0.25,56.75,0.455645161290323,0.467213114754098
2025020194,"UTA","TBL","away",56.625,30.875,13.375,12.375,54.5,30.25,13,11.25,54.2857142857143,28.4285714285714,13.4285714285714,12.4285714285714,53.625,26.875,12.125,14.625,48.25,25,7.5,15.75,54.8333333333333,28.3333333333333,11,15.5,0,0,27,-0.625,-1.875,0,4,57.75,0.545253863134658,0.501165501165501
2025020195,"NYI","CBJ","away",55.625,27.125,15.25,13.25,58,28,15.25,14.75,58.5,28.6666666666667,14.5,15.3333333333333,63.625,32.375,15.75,15.5,67.75,36.5,14.75,16.5,64.5,32.1666666666667,16.5,15.8333333333333,0,1,39,0.875,4.125,0,-5.25,59.5,0.487640449438202,0.508840864440079
2025020196,"PHI","CGY","away",51,24.875,12.5,13.625,56,27.75,14,14.25,46.6666666666667,22,12,12.6666666666667,56.25,30.875,11.875,13.5,61.75,33,14.5,14.25,57.6,28.8,11.4,17.4,1,1,18,2.875,2.125,0,-6,55.75,0.487745098039216,0.548888888888889
2025020197,"ANA","NJD","away",61.625,29.5,15.25,16.875,59.5,29.75,13.5,16.25,69.4285714285714,34,17.1428571428571,18.2857142857143,63.625,30.125,13.375,20.125,70.25,34.5,15.25,20.5,60,24.8,13.6,21.6,0,1,29,0.25,4.375,0,-0.625,59.625,0.478701825557809,0.473477406679764
2025020198,"SJS","DET","away",55.375,28,10,17.375,55,29,8.75,17.25,48.6,24.6,9.4,14.6,62.75,29.5,16.25,17,65.25,31.25,16.25,17.75,55.1666666666667,23.3333333333333,13.8333333333333,18,1,0,18,1,1.75,0,-1.5,57.5,0.505643340857788,0.470119521912351
2025020199,"PIT","TOR","home",55.25,27.125,13,15.125,54.5,29,11.5,14,55.4,26,13.2,16.2,59.375,29.25,12.5,17.625,60.5,28,12.5,20,64.25,30.5,15.25,18.5,0,0,37,1.875,-1.25,1,-2.125,56.375,0.490950226244344,0.492631578947368
